,CIK,accession_no,xbrl_tag_name,unitref,FilingDate,FormType,value,source
33241,1725579,0001725579-20-000008,us-gaap:PaymentsToAcquireBusinessesNetOfCashAcquired,usd,2020-02-25,10-K,"163,771",xbrl
33242,1725579,0001725579-20-000008,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,usd,2020-02-25,10-K,"8,796",xbrl
33243,1725579,0001725579-20-000008,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,usd,2020-02-25,10-K,"88,811",xbrl
33244,1725579,0001725579-20-000008,us-gaap:ShortTermInvestments,usd,2020-02-25,10-K,"332,234",xbrl
33245,1725579,0001725579-20-000032,us-gaap:AssetsCurrent,usd,2020-04-29,10-Q,"556,830",xbrl
33246,1725579,0001725579-20-000032,us-gaap:CashAndCashEquivalentsAtCarryingValue,usd,2020-04-29,10-Q,"94,476",xbrl
33247,1725579,0001725579-20-000032,us-gaap:GeneralAndAdministrativeExpense,usd,2020-04-29,10-Q,"23,371",xbrl
33248,1725579,0001725579-20-000032,us-gaap:GrossProfit,usd,2020-04-29,10-Q,"73,638",xbrl
33249,1725579,0001725579-20-000032,us-gaap:Liabilities,usd,2020-04-29,10-Q,"785,793",xbrl
33250,1725579,0001725579-20-000032,us-gaap:LiabilitiesCurrent,usd,2020-04-29,10-Q,"283,901",xbrl
33251,1725579,0001725579-20-000032,us-gaap:LongTermDebt,usd,2020-04-29,10-Q,"476,819",xbrl
33252,1725579,0001725579-20-000032,us-gaap:NetIncomeLoss,usd,2020-04-29,10-Q,"35,319",xbrl
33253,1725579,0001725579-20-000032,us-gaap:OperatingExpenses,usd,2020-04-29,10-Q,"86,633",xbrl
33254,1725579,0001725579-20-000032,us-gaap:OperatingIncomeLoss,usd,2020-04-29,10-Q,"42,292",xbrl
33255,1725579,0001725579-20-000032,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,usd,2020-04-29,10-Q,"2,133",xbrl
33256,1725579,0001725579-20-000032,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,usd,2020-04-29,10-Q,"92,646",xbrl
33257,1725579,0001725579-20-000032,us-gaap:ShortTermInvestments,usd,2020-04-29,10-Q,"332,234",xbrl
33258,1725579,0001725579-20-000047,us-gaap:AssetsCurrent,usd,2020-07-29,10-Q,"556,830",xbrl
33259,1725579,0001725579-20-000047,us-gaap:CashAndCashEquivalentsAtCarryingValue,usd,2020-07-29,10-Q,"90,515",xbrl
33260,1725579,0001725579-20-000047,us-gaap:GeneralAndAdministrativeExpense,usd,2020-07-29,10-Q,"46,367",xbrl
33261,1725579,0001725579-20-000047,us-gaap:GrossProfit,usd,2020-07-29,10-Q,"75,048",xbrl
33262,1725579,0001725579-20-000047,us-gaap:Liabilities,usd,2020-07-29,10-Q,"850,699",xbrl
33263,1725579,0001725579-20-000047,us-gaap:LiabilitiesCurrent,usd,2020-07-29,10-Q,"283,901",xbrl
33264,1725579,0001725579-20-000047,us-gaap:LongTermDebt,usd,2020-07-29,10-Q,"483,503",xbrl
33265,1725579,0001725579-20-000047,us-gaap:NetIncomeLoss,usd,2020-07-29,10-Q,"65,248",xbrl
33266,1725579,0001725579-20-000047,us-gaap:OperatingExpenses,usd,2020-07-29,10-Q,"95,440",xbrl
